IP 地址,平均延迟,下载速度(MB/s),地区码
2.26.147.65,,,
2.26.147.67,,,
2.26.147.71,,,
2.26.147.109,,,
2.26.149.23,,,
2.26.151.209,,,
2.26.158.68,,,
2.26.158.78,,,
2.26.158.100,,,
2.26.158.136,,,
2.26.158.157,,,
2.26.162.29,,,
2.26.162.166,,,
2.26.163.116,,,
2.26.194.17,,,
2.26.194.178,,,
2.26.199.3,,,
2.26.199.6,,,
2.26.199.17,,,
2.26.201.194,,,
2.26.224.210,,,
2.26.225.19,,,
2.26.225.64,,,
2.26.248.89,,,
2.26.248.140,,,
2.26.248.152,,,
2.26.248.179,,,
2.26.248.247,,,
2.26.249.57,,,
2.26.249.65,,,
2.26.249.185,,,
2.26.249.201,,,
2.26.249.239,,,
2.26.250.4,,,
2.26.250.20,,,
2.26.250.79,,,
2.26.250.227,,,
2.26.251.35,,,
2.26.251.55,,,
2.26.251.97,,,
2.26.251.101,,,
2.26.251.104,,,
2.26.251.174,,,
2.26.251.231,,,
2.27.8.39,,,
2.27.8.104,,,
2.27.9.45,,,
2.27.9.124,,,
2.27.9.196,,,
2.27.9.206,,,
2.27.11.3,,,
2.27.11.51,,,
2.27.11.127,,,
2.27.11.143,,,
2.27.11.208,,,
2.27.12.194,,,
2.27.14.94,,,
2.27.16.26,,,
2.27.16.177,,,
2.27.16.208,,,
2.27.18.30,,,
2.27.18.34,,,
2.27.18.52,,,
2.27.18.111,,,
2.27.18.207,,,
2.27.19.212,,,
2.27.19.251,,,
2.27.24.35,,,
2.27.24.119,,,
2.27.24.193,,,
2.27.25.85,,,
2.27.28.10,,,
2.27.28.57,,,
2.27.28.82,,,
2.27.28.87,,,
2.27.28.169,,,
2.27.28.173,,,
2.27.29.3,,,
2.27.29.166,,,
2.27.29.223,,,
2.27.30.80,,,
2.27.30.188,,,
2.27.31.138,,,
2.27.31.242,,,
2.27.35.59,,,
2.27.35.104,,,
2.27.36.159,,,
2.27.37.214,,,
2.27.39.98,,,
2.27.39.136,,,
2.27.39.147,,,
2.27.44.231,,,
2.27.44.253,,,
2.27.45.14,,,
2.27.45.21,,,
2.27.45.55,,,
2.27.46.124,,,
2.27.47.17,,,
2.27.47.118,,,
2.27.47.161,,,
2.27.47.204,,,
2.27.48.63,,,
2.27.48.97,,,
2.27.48.253,,,
2.27.48.255,,,
2.27.50.161,,,
2.27.50.174,,,
2.27.50.210,,,
2.27.50.247,,,
2.27.51.28,,,
2.27.51.59,,,
2.27.51.210,,,
2.27.51.214,,,
2.27.51.233,,,
2.27.51.244,,,
2.27.51.250,,,
2.27.54.132,,,
2.27.57.22,,,
2.27.57.85,,,
2.27.57.87,,,
2.27.57.100,,,
2.27.57.123,,,
2.27.59.249,,,
2.27.90.107,,,
2.27.98.35,,,
2.27.105.199,,,
2.27.109.12,,,
2.27.109.35,,,
2.27.109.62,,,
2.27.109.236,,,
2.27.120.85,,,
2.27.120.206,,,
2.27.121.94,,,
2.27.121.98,,,
2.27.121.181,,,
2.27.122.106,,,
2.27.122.117,,,
2.27.122.200,,,
2.27.123.149,,,
2.27.123.186,,,
2.27.130.172,,,
2.27.131.10,,,
2.27.132.136,,,
2.27.132.160,,,
2.27.134.42,,,
2.27.160.103,,,
2.27.169.2,,,
2.27.169.6,,,
2.27.169.42,,,
2.27.169.43,,,
2.27.169.50,,,
2.27.169.51,,,
2.27.169.54,,,
2.27.169.60,,,
2.27.169.61,,,
2.27.169.65,,,
2.27.169.72,,,
2.27.169.74,,,
2.27.169.76,,,
2.27.169.90,,,
2.27.169.94,,,
2.27.169.105,,,
2.27.169.106,,,
2.27.169.118,,,
2.27.169.131,,,
2.27.169.138,,,
2.27.169.140,,,
2.27.169.145,,,
2.27.169.161,,,
2.27.169.169,,,
2.27.169.171,,,
2.27.169.174,,,
2.27.169.176,,,
2.27.169.184,,,
2.27.169.189,,,
2.27.169.193,,,
2.27.169.196,,,
2.27.169.199,,,
2.27.169.209,,,
2.27.169.220,,,
2.27.169.221,,,
2.27.169.226,,,
2.27.169.232,,,
2.27.169.235,,,
2.27.169.237,,,
2.27.169.240,,,
2.27.169.241,,,
2.27.169.249,,,
2.27.170.209,,,
2.27.174.68,,,
2.27.204.22,,,
2.27.204.77,,,
2.27.204.164,,,
2.27.208.19,,,
2.27.236.78,,,
2.27.244.83,,,
2.27.244.113,,,
2.27.244.160,,,
2.27.244.161,,,
2.27.244.162,,,
2.27.244.163,,,
2.27.244.164,,,
2.27.253.44,,,
2.27.253.61,,,
2.27.253.105,,,
2.28.4.233,,,
2.28.14.131,,,
2.28.19.120,,,
2.28.55.241,,,
2.29.11.63,,,
2.56.90.233,,,
2.56.96.37,,,
2.56.116.82,,,
2.56.204.183,,,
2.56.207.67,,,
2.56.212.172,,,
2.56.215.195,,,
2.56.246.37,,,
2.56.246.55,,,
2.56.246.92,,,
2.57.242.152,,,
2.58.65.5,,,
2.58.95.52,,,
2.58.95.90,,,
2.58.95.153,,,
2.59.38.185,,,
2.59.161.182,,,
2.59.162.27,,,
2.59.163.11,,,
2.59.163.33,,,
2.59.183.140,,,
2.59.183.210,,,
2.59.219.29,,,
2.59.219.90,,,
2.59.219.220,,,
2.189.86.119,,,
3.0.50.69,210.86,0.00,SIN
3.1.187.169,,,
3.18.133.72,,,
3.27.159.64,,,
3.35.51.12,,,
3.37.245.168,,,
3.66.115.225,,,
3.66.164.83,,,
3.66.169.92,,,
3.67.69.77,,,
3.67.232.136,,,
3.68.31.54,,,
3.68.62.122,,,
3.69.0.8,,,
3.70.206.161,,,
3.70.220.126,,,
3.71.107.25,,,
3.75.12.170,,,
3.75.138.7,,,
3.76.138.151,,,
3.76.220.60,,,
3.78.97.64,,,
3.85.99.118,,,
3.93.187.66,,,
3.112.3.59,131.36,4.99,NRT
3.112.21.143,129.91,2.52,NRT
3.112.41.210,126.76,0.00,NRT
3.112.50.36,,,
3.112.62.218,172.95,2.62,NRT
3.112.67.101,127.90,0.00,NRT
3.112.69.236,147.98,5.14,NRT
3.112.70.249,130.51,2.61,NRT
3.112.90.2,171.02,2.61,NRT
3.112.109.176,,,
3.112.132.156,,,
3.112.171.24,,,
3.112.177.2,173.72,10.06,NRT
3.112.178.248,,,
3.112.188.74,144.19,5.12,NRT
3.112.195.202,143.71,0.00,NRT
3.112.198.83,91.14,18.14,NRT
3.112.205.83,151.91,2.62,NRT
3.112.206.23,125.95,0.00,NRT
3.112.210.73,,,
3.112.219.69,124.80,18.95,NRT
3.115.1.174,137.32,18.88,NRT
3.115.8.62,133.25,18.89,NRT
3.115.19.132,107.60,0.00,NRT
3.115.38.151,,,
3.115.78.140,139.58,18.88,NRT
3.115.86.142,108.15,0.00,NRT
3.115.88.216,130.35,18.88,NRT
3.115.100.16,,,
3.115.105.117,,,
3.115.106.244,,,
3.115.119.83,110.85,0.00,NRT
3.115.198.26,107.28,0.00,NRT
3.115.214.51,126.55,2.62,NRT
3.115.234.180,110.39,0.00,NRT
3.115.245.6,108.87,0.00,NRT
3.121.85.142,,,
3.126.76.108,,,
3.127.55.133,,,
3.128.31.119,,,
3.132.174.45,,,
3.234.228.173,,,
3.234.249.2,,,
4.194.113.191,254.15,0.00,SIN
4.232.64.201,,,
4.236.130.132,,,
4.240.110.47,,,
5.2.75.247,,,
5.8.52.100,,,
5.8.201.239,,,
5.22.218.163,,,
5.23.52.184,,,
5.23.53.228,,,
5.34.176.67,,,
5.34.176.71,,,
5.34.176.72,,,
5.34.176.76,,,
5.34.177.37,,,
5.34.177.86,,,
5.34.177.232,,,
5.34.180.230,,,
5.34.180.232,,,
5.34.182.153,,,
5.34.208.18,,,
5.34.208.44,,,
5.34.208.208,,,
5.34.209.16,,,
5.34.209.48,,,
5.34.209.97,,,
5.34.209.139,,,
5.34.209.198,,,
5.34.209.206,,,
5.34.210.31,,,
5.34.210.198,,,
5.34.210.234,,,
5.34.211.35,,,
5.34.211.94,,,
5.34.212.177,,,
5.34.213.8,,,
5.34.213.40,,,
5.34.213.86,,,
5.34.213.125,,,
5.34.213.189,,,
5.34.214.205,,,
5.34.220.80,,,
5.34.220.81,,,
5.34.220.82,,,
5.34.220.83,,,
5.34.220.84,,,
5.35.32.238,,,
5.35.34.240,,,
5.35.103.185,,,
5.35.127.57,,,
5.39.249.167,,,
5.39.253.39,,,
5.39.253.54,,,
5.39.253.126,,,
5.39.253.208,,,
5.42.102.241,,,
5.42.112.211,,,
5.42.122.192,,,
5.42.221.16,,,
5.42.221.131,,,
5.42.221.155,,,
5.44.40.31,,,
5.44.40.157,,,
5.45.100.191,,,
5.45.102.29,,,
5.45.103.67,,,
5.45.107.30,,,
5.45.107.150,,,
5.45.107.195,,,
5.45.108.138,,,
5.45.110.82,,,
5.45.111.195,,,
5.45.112.139,,,
5.45.112.149,,,
5.45.112.211,,,
5.45.115.87,,,
5.45.115.162,,,
5.45.115.168,,,
5.45.115.238,,,
5.45.117.125,,,
5.45.118.55,,,
5.45.119.69,,,
5.45.119.170,,,
5.45.122.10,,,
5.45.124.170,,,
5.45.126.8,,,
5.45.126.36,,,
5.45.126.50,,,
5.45.127.84,,,
5.45.127.87,,,
5.45.127.148,,,
5.45.184.200,,,
5.61.27.190,,,
5.61.34.38,,,
5.61.34.215,,,
5.61.34.247,,,
5.61.38.177,,,
5.61.38.237,,,
5.61.39.183,,,
5.61.41.196,,,
5.61.42.102,,,
5.61.45.203,,,
5.61.47.9,,,
5.61.48.66,,,
5.61.88.200,,,
5.61.89.34,,,
5.61.89.87,,,
5.61.90.135,,,
5.75.159.159,,,
5.75.162.140,,,
5.75.172.91,,,
5.75.182.89,,,
5.75.184.2,,,
5.75.193.110,,,
5.75.194.94,,,
5.75.197.238,,,
5.75.199.58,,,
5.75.199.116,,,
5.75.200.172,,,
5.75.201.93,,,
5.75.201.247,,,
5.75.203.31,,,
5.75.213.197,,,
5.75.220.97,,,
5.75.235.115,,,
5.75.237.184,,,
5.78.48.191,,,
5.78.48.250,,,
5.78.54.38,,,
5.78.92.27,,,
5.78.139.205,,,
5.78.203.60,,,
5.78.223.149,,,
5.78.237.227,,,
5.78.238.71,,,
5.83.152.69,,,
5.83.218.80,,,
5.101.50.226,,,
5.101.98.224,,,
5.101.101.166,,,
5.101.103.227,,,
5.101.105.52,,,
5.101.106.118,,,
5.101.114.27,,,
5.101.114.44,,,
5.101.114.88,,,
5.101.114.177,,,
5.101.115.34,,,
5.101.115.69,,,
5.101.115.117,,,
5.101.116.62,,,
5.101.116.91,,,
5.101.117.184,,,
5.101.117.253,,,
5.101.118.52,,,
5.101.118.60,,,
5.101.118.146,,,
5.101.122.59,,,
5.101.126.33,,,
5.101.180.19,,,
5.101.180.112,,,
5.101.180.125,,,
5.101.181.135,,,
5.102.37.64,,,
5.104.83.202,,,
5.104.85.214,,,
5.104.86.1,,,
5.104.107.80,,,
5.128.145.96,,,
5.129.195.172,,,
5.129.196.199,,,
5.129.209.192,,,
5.129.209.247,,,
5.129.210.83,,,
5.129.211.144,,,
5.129.212.160,,,
5.129.213.136,,,
5.129.213.182,,,
5.129.216.14,,,
5.129.216.208,,,
5.129.217.193,,,
5.129.218.71,,,
5.129.219.71,,,
5.129.226.114,,,
5.129.227.222,,,
5.129.227.239,,,
5.129.232.117,,,
5.129.234.169,,,
5.129.235.22,,,
5.129.235.102,,,
5.129.235.237,,,
5.129.236.228,,,
5.129.237.154,,,
5.129.237.155,,,
5.129.238.73,,,
5.129.238.97,,,
5.129.238.238,,,
5.129.239.74,,,
5.129.239.223,,,
5.129.241.70,,,
5.129.243.72,,,
5.129.253.122,,,
5.134.119.210,,,
5.135.211.253,,,
5.144.176.73,,,
5.144.179.49,,,
5.144.179.124,,,
5.144.179.205,,,
5.144.179.208,,,
5.144.181.41,,,
5.149.253.225,,,
5.152.211.66,,,
5.157.30.2,,,
5.157.30.3,,,
5.157.30.26,,,
5.157.30.28,,,
5.157.51.83,,,
5.161.19.165,,,
5.161.118.157,,,
5.161.156.249,,,
5.175.178.191,,,
5.175.178.254,,,
5.175.188.96,,,
5.175.188.149,,,
5.175.188.225,,,
5.175.211.86,,,
5.175.217.109,,,
5.175.221.112,,,
5.175.221.129,,,
5.175.233.154,,,
5.175.236.4,,,
5.175.236.6,,,
5.175.236.14,,,
5.175.236.36,,,
5.175.236.48,,,
5.175.236.53,,,
5.175.236.54,,,
5.175.236.58,,,
5.178.96.37,,,
5.178.96.57,,,
5.178.96.74,,,
5.178.96.122,,,
5.178.96.130,,,
5.178.96.136,,,
5.178.96.241,,,
5.180.20.134,,,
5.180.21.7,,,
5.180.40.166,,,
5.180.42.79,,,
5.180.82.38,,,
5.180.82.76,,,
5.180.181.166,,,
5.180.182.128,,,
5.180.182.245,,,
5.180.183.107,,,
5.180.253.99,,,
5.181.77.132,,,
5.181.108.232,,,
5.181.134.24,,,
5.181.134.74,,,
5.181.134.217,,,
5.181.158.96,,,
5.181.177.189,,,
5.181.187.58,,,
5.181.202.60,,,
5.181.202.75,,,
5.181.202.134,,,
5.182.86.10,,,
5.182.86.54,,,
5.182.86.61,,,
5.182.86.111,,,
5.182.86.177,,,
5.182.86.246,,,
5.182.87.104,,,
5.182.87.164,,,
5.182.87.170,,,
5.183.190.46,,,
5.183.253.112,,,
5.187.0.164,,,
5.187.0.166,,,
5.187.0.182,,,
5.187.2.37,,,
5.187.2.82,,,
5.187.2.161,,,
5.187.2.232,,,
5.187.4.74,,,
5.187.4.132,,,
5.187.4.168,,,
5.187.5.27,,,
5.187.5.98,,,
5.187.7.14,,,
5.187.7.18,,,
5.187.7.220,,,
5.188.16.113,,,
5.188.21.38,,,
5.188.26.9,,,
5.188.26.53,,,
5.188.30.178,,,
5.189.137.48,,,
5.189.239.36,,,
5.189.254.168,,,
5.189.254.185,,,
5.196.27.246,,,
5.196.83.152,,,
5.199.162.130,,,
5.199.166.152,,,
5.199.173.195,,,
5.223.21.240,,,
5.223.51.2,,,
5.223.51.84,,,
5.223.52.82,,,
5.223.59.9,,,
5.223.60.212,,,
5.223.70.20,,,
5.223.71.252,,,
5.223.93.126,,,
5.223.95.244,,,
5.230.57.136,,,
5.230.74.61,,,
5.230.194.122,,,
5.230.194.229,,,
5.230.201.51,,,
5.231.28.113,,,
5.231.106.240,,,
5.231.118.18,,,
5.231.118.20,,,
5.231.118.23,,,
5.231.118.119,,,
5.231.119.60,,,
5.231.119.111,,,
5.231.223.65,,,
5.249.148.85,,,
5.249.255.116,,,
5.252.118.157,,,
5.252.179.39,,,
5.252.179.64,,,
5.253.28.113,,,
5.253.28.115,,,
5.253.28.234,,,
5.253.29.6,,,
5.253.29.83,,,
5.253.29.241,,,
5.253.30.171,,,
5.253.30.225,,,
5.253.36.155,,,
5.253.36.158,,,
5.253.38.190,,,
5.253.59.106,,,
5.253.188.137,,,
5.253.188.195,,,
5.253.188.254,,,
5.253.189.215,,,
5.253.189.224,,,
5.255.101.204,,,
5.255.102.201,,,
5.255.105.242,,,
5.255.109.23,,,
5.255.109.47,,,
5.255.113.38,,,
5.255.115.185,,,
5.255.116.214,,,
5.255.121.198,,,
5.255.122.58,,,
5.255.123.63,,,
5.255.125.95,,,
8.34.146.70,,,
8.34.146.242,,,
8.208.20.116,,,
8.209.83.19,,,
8.210.19.98,,,
8.210.29.68,,,
8.210.40.146,,,
8.210.133.81,,,
8.210.156.104,,,
8.210.214.167,,,
8.210.250.14,62.44,29.43,HKG
8.211.36.136,,,
8.216.5.125,,,
8.218.22.14,205.83,0.00,HKG
8.218.66.4,178.49,16.25,HKG
8.218.100.2,305.68,0.13,HKG
8.218.102.168,57.18,41.92,HKG
8.218.116.46,203.44,7.38,TPE
8.219.10.48,,,
8.219.155.125,311.42,0.00,NRT
8.219.159.123,,,
8.219.195.31,343.33,0.00,NRT
8.219.232.55,,,
8.221.126.227,141.83,0.00,IAD
8.222.185.236,358.22,0.00,NRT
8.222.193.153,351.20,0.00,NRT
8.222.232.199,,,
8.222.244.182,,,
8.223.63.189,,,
9.163.235.73,,,
13.37.29.92,,,
13.50.199.225,,,
13.56.86.137,,,
13.62.127.104,,,
13.63.216.71,,,
13.63.243.189,,,
13.112.165.78,,,
13.113.3.66,108.20,0.00,NRT
13.113.44.10,110.36,0.00,NRT
13.113.187.222,109.24,0.00,NRT
13.113.194.44,,,
13.113.217.178,110.88,0.00,NRT
13.114.30.50,182.64,5.14,NRT
13.114.31.181,129.97,0.00,NRT
13.114.50.138,,,
13.114.54.191,129.14,18.92,NRT
13.114.76.102,131.79,5.14,NRT
13.114.86.140,181.08,5.14,NRT
13.114.101.22,121.39,0.00,NRT
13.114.102.192,144.16,18.49,NRT
13.114.147.6,128.10,0.00,NRT
13.114.169.120,,,
13.114.217.234,498.80,18.88,NRT
13.114.227.104,162.48,18.88,NRT
13.114.231.32,187.16,2.56,NRT
13.115.139.162,,,
13.115.208.4,,,
13.124.169.29,,,
13.126.206.240,,,
13.140.0.127,,,
13.140.0.188,,,
13.140.3.237,,,
13.140.8.149,,,
13.140.9.211,,,
13.140.10.28,,,
13.140.16.35,,,
13.140.16.60,,,
13.140.17.122,,,
13.140.17.214,,,
13.140.25.46,,,
13.140.25.68,,,
13.140.25.114,,,
13.140.25.210,,,
13.140.28.46,,,
13.140.28.247,,,
13.140.29.13,,,
13.140.29.45,,,
13.140.29.170,,,
13.140.29.253,,,
13.140.139.31,,,
13.140.143.53,,,
13.140.156.31,,,
13.140.170.145,,,
13.140.178.234,,,
13.143.139.31,,,
13.143.139.84,,,
13.143.139.207,,,
13.143.141.32,,,
13.143.143.21,,,
13.143.143.223,,,
13.143.176.206,,,
13.143.202.200,,,
13.143.245.157,,,
13.143.245.184,,,
13.158.39.80,,,
13.158.71.221,,,
13.158.86.30,,,
13.193.0.195,123.79,18.81,NRT
13.193.29.106,129.03,0.00,NRT
13.193.41.3,108.32,0.00,NRT
13.193.73.233,108.67,0.00,NRT
13.193.76.207,,,
13.193.78.117,122.25,9.96,NRT
13.193.101.130,109.80,0.00,NRT
13.193.114.134,,,
13.193.125.219,129.40,18.89,NRT
13.193.145.251,107.70,0.00,NRT
13.193.150.127,122.54,14.50,NRT
13.193.152.12,,,
13.193.172.113,131.14,0.00,NRT
13.193.179.209,109.34,0.00,NRT
13.193.183.187,143.21,0.00,NRT
13.193.197.18,,,
13.193.205.90,,,
13.193.212.73,109.60,0.00,NRT
13.193.213.128,108.26,0.00,NRT
13.193.213.165,134.33,0.00,NRT
13.193.214.39,134.16,18.89,NRT
13.193.215.10,125.33,14.38,NRT
13.193.216.144,128.32,18.88,NRT
13.193.216.180,141.03,0.00,NRT
13.193.221.75,124.94,18.88,NRT
13.193.221.146,,,
13.193.224.190,127.73,18.88,NRT
13.193.235.55,130.19,0.00,NRT
13.193.235.119,132.38,0.00,NRT
13.193.244.81,128.57,0.00,NRT
13.193.255.97,129.66,22.41,NRT
13.196.89.51,,,
13.200.106.232,,,
13.212.57.14,,,
13.212.102.10,,,
13.212.126.228,,,
13.212.207.124,,,
13.213.65.117,,,
13.213.109.65,,,
13.229.72.71,,,
13.231.33.243,,,
13.231.38.1,122.64,17.61,NRT
13.231.38.133,,,
13.231.46.139,108.12,0.00,NRT
13.231.49.56,162.63,2.61,NRT
13.231.78.182,108.64,0.00,NRT
13.231.111.46,,,
13.231.117.189,109.38,0.00,NRT
13.231.128.12,177.56,18.78,NRT
13.231.130.188,108.33,0.00,NRT
13.231.135.28,109.41,0.00,NRT
13.231.135.156,,,
13.231.138.175,109.25,0.00,NRT
13.231.142.11,134.88,18.88,NRT
13.231.142.17,107.48,0.00,NRT
13.231.143.46,,,
13.231.144.71,108.84,0.00,NRT
13.231.153.7,147.88,18.88,NRT
13.231.170.177,,,
13.231.172.130,122.66,5.13,NRT
13.231.174.16,167.17,18.89,NRT
13.231.183.9,130.10,2.62,NRT
13.231.190.183,147.68,18.88,NRT
13.231.191.46,222.71,18.88,NRT
13.231.193.85,,,
13.231.193.244,169.12,18.89,NRT
13.231.196.7,,,
13.231.196.209,184.04,5.14,NRT
13.231.213.170,109.48,0.00,NRT
13.231.221.179,120.22,5.14,NRT
13.231.229.159,127.22,0.00,NRT
13.231.235.65,,,
13.231.238.1,,,
13.231.242.223,151.92,15.47,NRT
13.231.244.80,109.12,0.00,NRT
13.231.255.196,170.91,2.54,NRT
13.250.2.248,205.68,9.49,SIN
13.250.9.246,288.74,10.56,SIN
13.250.14.129,280.54,11.10,SIN
13.250.15.63,254.10,9.45,HKG
13.250.17.35,199.86,9.47,SIN
13.250.18.50,203.57,4.58,SIN
13.250.18.60,204.68,9.46,SIN
13.250.19.142,207.68,4.56,SIN
13.250.27.210,204.79,9.47,SIN
13.250.31.132,,,
13.250.39.15,226.98,0.00,SIN
13.250.43.119,214.67,4.59,SIN
13.250.47.176,203.07,4.58,SIN
13.250.48.64,272.07,9.51,SIN
13.250.64.83,270.96,0.00,HKG
13.250.70.157,230.13,9.46,SIN
13.250.78.140,216.54,0.00,SIN
13.250.102.119,210.46,2.39,SIN
13.250.103.196,217.36,4.58,SIN
13.250.105.203,205.16,4.58,SIN
13.250.105.219,967.80,9.67,SIN
13.250.116.196,211.19,4.53,SIN
13.250.117.253,201.23,4.58,SIN
13.250.129.244,209.43,8.75,SIN
13.250.131.37,208.68,0.00,SIN
13.250.180.145,202.36,9.45,SIN
13.250.197.30,199.63,0.18,SIN
13.250.231.67,210.46,2.38,SIN
14.137.230.82,,,
14.137.235.40,,,
14.137.235.113,,,
15.157.60.182,,,
15.168.27.230,,,
15.204.83.44,,,
15.204.106.24,,,
15.204.173.154,,,
15.204.224.59,,,
15.232.155.235,,,
15.235.104.68,,,
15.235.164.127,,,
15.235.212.159,,,
16.76.81.233,,,
16.145.218.182,,,
16.163.98.204,,,
16.163.174.115,186.69,0.00,HKG
16.170.253.163,,,
16.171.11.113,,,
16.171.218.156,,,
16.216.65.86,,,
18.134.196.127,,,
18.138.5.199,198.41,9.95,SIN
18.138.10.11,279.30,0.00,SIN
18.138.26.126,218.56,9.48,SIN
18.138.34.221,214.20,0.49,SIN
18.138.81.40,209.39,2.38,SIN
18.138.103.248,208.60,9.46,SIN
18.138.123.197,235.25,9.45,SIN
18.138.124.88,201.99,4.52,SIN
18.138.152.34,202.50,9.54,SIN
18.138.159.123,206.38,0.00,SIN
18.138.206.30,214.88,0.00,SIN
18.138.224.219,211.25,4.27,SIN
18.138.226.68,206.08,9.55,SIN
18.138.229.136,202.75,2.38,SIN
18.138.248.236,201.23,2.30,SIN
18.138.251.163,203.29,9.46,SIN
18.138.252.84,212.10,11.11,SIN
18.139.30.198,,,
18.139.143.168,,,
18.139.162.187,,,
18.140.28.73,,,
18.141.208.166,,,
18.141.237.52,,,
18.143.76.130,,,
18.153.112.55,,,
18.166.216.113,,,
18.171.163.34,,,
18.179.10.27,,,
18.180.86.39,,,
18.181.170.52,,,
18.182.63.120,,,
18.182.141.80,,,
18.182.186.103,,,
18.183.15.252,127.27,2.62,NRT
18.183.42.103,129.96,2.62,NRT
18.183.45.210,147.16,2.62,NRT
18.183.49.46,127.94,18.88,NRT
18.183.53.161,264.81,5.13,NRT
18.183.73.183,166.65,18.88,NRT
18.183.93.241,126.96,2.63,NRT
18.183.109.205,126.67,18.95,NRT
18.183.114.116,149.64,4.89,NRT
18.183.124.180,156.72,2.35,NRT
18.183.128.127,,,
18.183.128.226,,,
18.183.141.249,143.75,15.55,NRT
18.183.148.100,164.32,2.57,NRT
18.183.159.8,182.39,2.62,NRT
18.183.165.244,168.24,2.62,NRT
18.183.167.76,,,
18.183.174.64,161.52,2.55,NRT
18.183.210.40,152.11,2.62,NRT
18.183.223.116,,,
18.183.224.152,,,
18.183.225.98,126.17,18.88,NRT
18.183.229.103,125.95,2.61,NRT
18.183.231.168,,,
18.183.233.228,,,
18.183.255.209,740.26,0.00,NRT
18.184.27.249,,,
18.185.254.189,,,
18.192.93.64,,,
18.193.131.26,,,
18.194.131.41,,,
18.196.70.197,,,
18.197.105.31,,,
18.197.218.69,,,
18.198.227.161,,,
18.211.38.237,,,
18.216.207.41,,,
20.6.12.145,,,
20.33.23.66,,,
20.39.37.65,,,
20.106.211.232,,,
20.120.129.200,,,
20.174.15.226,,,
20.219.46.208,,,
20.235.105.146,,,
20.235.220.189,,,
23.26.37.78,,,
23.26.201.11,,,
23.26.201.79,,,
23.27.11.182,,,
23.27.12.103,,,
23.27.22.225,,,
23.27.24.101,,,
23.27.28.131,,,
23.27.47.168,,,
23.27.139.111,,,
23.27.163.82,,,
23.27.163.198,,,
23.27.164.116,,,
23.27.169.9,,,
23.27.169.196,,,
23.27.169.220,,,
23.27.169.249,,,
23.27.175.72,,,
23.27.201.85,,,
23.27.201.128,,,
23.27.201.168,,,
23.27.245.165,,,
23.27.245.194,,,
23.27.246.34,,,
23.80.83.166,,,
23.80.83.219,,,
23.80.83.220,,,
23.80.89.166,,,
23.80.89.205,,,
23.80.90.243,,,
23.81.36.149,,,
23.81.118.138,,,
23.82.96.105,,,
23.88.44.187,,,
23.88.97.94,,,
23.88.99.15,,,
23.88.101.157,,,
23.88.109.159,,,
23.88.113.130,,,
23.94.43.51,,,
23.94.59.201,,,
23.94.66.59,,,
